dataset,feature,auc,auc_ci_low,auc_ci_high,prauc,prauc_ci_low,prauc_ci_high,f1,threshold,threshold_max_f1,threshold_youden_j,threshold_cost_sensitive,flipped,flip_reason,accuracy,balanced_accuracy,precision,recall,specificity,npv,fpr,fnr,mcc,kappa,f1_youden,balanced_accuracy_youden,specificity_youden,precision_youden,recall_youden,f1_cost,balanced_accuracy_cost,specificity_cost,precision_cost,recall_cost,tn,fp,fn,tp,n,n_pos,n_neg
twitter15,kcore_score,0.6371387020106185,0.6078776204805363,0.6694564254037839,0.8459708483477218,0.8251801962913335,0.8677330726488108,0.8453689167974883,0.00817670563859701,0.00817670563859701,0.07076923076923076,0.0029626760904293945,False,none,0.7355704697986577,0.5079279512391467,0.7520949720670391,0.9650537634408602,0.05080213903743316,0.3275862068965517,0.9491978609625669,0.03494623655913978,0.0355445776877731,0.022049122432933,0.5697115384615384,0.613435110114427,0.8021390374331551,0.864963503649635,0.42473118279569894,0.8564850345356869,0.5,0.0,0.748993288590604,1.0,19.0,355.0,39.0,1077.0,1490,1116,374
twitter15,centralization_score,0.5687065148640101,0.5364097156862203,0.5979864496291113,0.8033102257599771,0.7769158904768174,0.8284640473159449,0.8173773129525342,0.0002293169855014254,0.0002293169855014254,0.0016289250701622057,0.0,False,none,0.6953020134228188,0.481935100530926,0.7416058394160584,0.910394265232975,0.053475935828877004,0.16666666666666666,0.946524064171123,0.08960573476702509,-0.057568184896966704,-0.04666563515395339,0.589845978322875,0.5712030168861288,0.679144385026738,0.8116169544740973,0.4632616487455197,0.8564850345356869,0.5,0.0,0.748993288590604,1.0,20.0,354.0,100.0,1016.0,1490,1116,374
twitter15,virality_score,0.6352363770532652,0.6034127405370285,0.6665329031258531,0.8445854381439755,0.8208056714647183,0.8667567307954172,0.848982785602504,0.3344262295081967,0.3344262295081967,0.3469387755102041,0.3337748344370861,False,none,0.7409395973154362,0.5115121806298277,0.7534722222222222,0.9722222222222222,0.05080213903743316,0.38,0.9491978609625669,0.027777777777777776,0.05543566237155868,0.03233730399084711,0.6181818181818182,0.6100377589941157,0.732620320855615,0.84472049689441,0.4874551971326165,0.8564850345356869,0.5,0.0,0.748993288590604,1.0,19.0,355.0,31.0,1085.0,1490,1116,374
twitter15,community_score,0.5511543327008223,0.5172485152611025,0.5886334540875873,0.7755824266717701,0.7502443559419472,0.8071819388016193,0.8542478565861263,0.18446460425095512,0.18446460425095512,0.24563580927005835,0.17722080719382663,False,none,0.748993288590604,0.5177773944377361,0.7558620689655172,0.982078853046595,0.053475935828877004,0.5,0.946524064171123,0.017921146953405017,0.09537883330860374,0.05056734930316564,0.760989010989011,0.555466908170893,0.3663101604278075,0.7780898876404494,0.7446236559139785,0.8574730354391372,0.5080142027485481,0.01871657754010695,0.7520270270270271,0.9973118279569892,20.0,354.0,20.0,1096.0,1490,1116,374
twitter15,hps_score,0.5004480286738351,0.4977537680098509,0.5031876138433515,0.749446906448867,0.7282153313701982,0.7706134057608801,0.008920606601248883,-0.476472447401986,-0.476472447401986,-0.476472447401986,-0.5615117076006286,True,auc_below_half_flip_score_sign,0.2543624161073825,0.5022401433691757,1.0,0.004480286738351254,1.0,0.2518518518518518,0.0,0.9955197132616488,0.03359119694028566,0.0022541934628389493,0.008920606601248883,0.5022401433691757,1.0,1.0,0.004480286738351254,0.8564850345356869,0.5,0.0,0.748993288590604,1.0,374.0,0.0,1111.0,5.0,1490,1116,374
twitter15,spectral_score,0.6146845590631169,0.5831911744983992,0.6475968957934972,0.8143647767215161,0.7878445961927762,0.8399543158350594,0.844007858546169,-0.8459963933566274,-0.8459963933566274,-0.8000351643050622,-0.8542988267369522,True,auc_below_half_flip_score_sign,0.7335570469798658,0.5065838652176413,0.7515745276417075,0.9623655913978495,0.05080213903743316,0.3114754098360656,0.9491978609625669,0.03763440860215054,0.028813617972561836,0.01824331725646533,0.6368653421633554,0.5994216357119583,0.6818181818181818,0.8290229885057471,0.5170250896057348,0.8568138195777351,0.5013368983957219,0.00267379679144385,0.7494963062458025,1.0,19.0,355.0,42.0,1074.0,1490,1116,374
twitter15,casdi_score,0.5780528242577578,0.5476899638079982,0.6086942594069554,0.8073460154042978,0.7825444727032184,0.8333405409625436,0.8479371316306484,-0.1510347176584461,-0.1510347176584461,0.21089853172655507,-0.2720911274028158,False,none,0.7402684563758389,0.5155085005654265,0.7550734779566131,0.9668458781362007,0.06417112299465241,0.39344262295081966,0.9358288770053476,0.033154121863799284,0.06787137887059418,0.04297270473111359,0.5367913148371533,0.5696936154716041,0.7406417112299465,0.8210332103321033,0.39874551971326166,0.8564850345356869,0.5,0.0,0.748993288590604,1.0,24.0,350.0,37.0,1079.0,1490,1116,374
twitter15,casdi_v2_score,0.6442843999769996,0.6148847895347005,0.674353380714563,0.8528900183411086,0.8295292621837966,0.8750259031425197,0.8438851749901691,0.6246330022211545,0.6246330022211545,1.060895634746592,0.531936459918351,False,none,0.7335570469798658,0.5074727349395282,0.751927119831815,0.9614695340501792,0.053475935828877004,0.31746031746031744,0.946524064171123,0.03853046594982079,0.03220291685600029,0.020655423952742225,0.6151182919792268,0.6264998179134802,0.7754010695187166,0.8638573743922204,0.4775985663082437,0.8564850345356869,0.5,0.0,0.748993288590604,1.0,20.0,354.0,43.0,1073.0,1490,1116,374
twitter16,kcore_score,0.598881948036446,0.5535716219429145,0.6410127330007447,0.8180105242264478,0.7829208142988867,0.8526280558974069,0.8388489208633094,0.008771929824561403,0.008771929824561403,0.05517241379310345,0.0024526750669927725,False,none,0.726161369193154,0.5023594477380336,0.7503217503217503,0.9510603588907015,0.05365853658536585,0.2682926829268293,0.9463414634146341,0.048939641109298535,0.00937227639617395,0.006431042522964003,0.6373626373626374,0.591903075637608,0.6634146341463415,0.8221649484536082,0.5203915171288744,0.856743535988819,0.5,0.0,0.7493887530562348,1.0,11.0,194.0,30.0,583.0,818,613,205
twitter16,centralization_score,0.5684677515616918,0.5274185406504932,0.6091038272839735,0.8012948581635778,0.7674890088211899,0.8368650141704052,0.8346570397111913,0.000214586564462084,0.000214586564462084,0.0023847401437190278,0.0,False,none,0.7200488997555012,0.4982811443122588,0.7487046632124352,0.9429037520391517,0.05365853658536585,0.2391304347826087,0.9463414634146341,0.057096247960848286,-0.006466793796315648,-0.004633751300561206,0.43961352657004826,0.5679624398201568,0.8390243902439024,0.8465116279069768,0.2969004893964111,0.856743535988819,0.5,0.0,0.7493887530562348,1.0,11.0,194.0,35.0,578.0,818,613,205
twitter16,virality_score,0.5764174591174949,0.5329433474914539,0.6157971269369211,0.8083285326870359,0.7718748264200467,0.8418329909634773,0.8295866569978243,0.3347921225382932,0.3347921225382932,0.33999999999999997,0.33363349842413326,False,none,0.7127139364303179,0.49338718020132893,0.7467362924281984,0.933115823817292,0.05365853658536585,0.21153846153846154,0.9463414634146341,0.06688417618270799,-0.02349134023735949,-0.017596053063428263,0.7452667814113597,0.5702542474038117,0.43414634146341463,0.7887067395264117,0.7063621533442088,0.856743535988819,0.5,0.0,0.7493887530562348,1.0,11.0,194.0,41.0,572.0,818,613,205
twitter16,community_score,0.5117295985357896,0.4617765826010627,0.5620668962704458,0.7569296653647801,0.717455023842244,0.7976060752121624,0.842180774748924,-0.48929326487674146,-0.48929326487674146,-0.32392545050859467,-0.586026258380835,True,auc_below_half_flip_score_sign,0.7310513447432763,0.5056220904786536,0.7516005121638925,0.9575856443719413,0.05365853658536585,0.2972972972972973,0.9463414634146341,0.04241435562805873,0.023448151696829796,0.015460702679636285,0.7024647887323944,0.5230095889865913,0.3951219512195122,0.762906309751434,0.6508972267536705,0.8573426573426572,0.5024390243902439,0.004878048780487805,0.7503059975520195,1.0,11.0,194.0,26.0,587.0,818,613,205
twitter16,hps_score,0.5008156606851549,0.5,0.5025252525252525,0.7497975805390141,0.7205241987372406,0.7794365301132677,0.0032573289902280136,-0.4282030573019774,-0.4282030573019774,-0.4282030573019774,-0.49999999985573046,True,auc_below_half_flip_score_sign,0.25183374083129584,0.5008156606851549,1.0,0.0016313213703099511,1.0,0.25091799265605874,0.0,0.99836867862969,0.020231853192802286,0.0008183208057067626,0.0032573289902280136,0.5008156606851549,1.0,1.0,0.0016313213703099511,0.856743535988819,0.5,0.0,0.7493887530562348,1.0,205.0,0.0,612.0,1.0,818,613,205
twitter16,spectral_score,0.5911391397763895,0.5455722244787922,0.6358985341770281,0.8042490402304368,0.7651127698921028,0.842495783063962,0.8384279475982532,-0.8442545569369183,-0.8442545569369183,-0.8228320519631248,-0.8542413399979057,True,auc_below_half_flip_score_sign,0.7286063569682152,0.518601042454144,0.7568988173455979,0.9396411092985318,0.0975609756097561,0.3508771929824561,0.9024390243902439,0.06035889070146819,0.0633205518556241,0.048966723576299054,0.765993265993266,0.5784426849162455,0.4146341463414634,0.7913043478260869,0.7422512234910277,0.856743535988819,0.5,0.0,0.7493887530562348,1.0,20.0,185.0,37.0,576.0,818,613,205
twitter16,casdi_score,0.5949031154259341,0.5515806486851469,0.635316738615848,0.8188153582788283,0.7838294365578155,0.8513109309788625,0.8528784648187634,-0.16570892221630296,-0.16570892221630296,0.17744611252033884,-0.2552503233786703,False,none,0.7469437652811736,0.5162256793856682,0.7556675062972292,0.9787928221859706,0.05365853658536585,0.4583333333333333,0.9463414634146341,0.021207177814029365,0.08333437480547046,0.04595395589411888,0.5893416927899686,0.5787968010185811,0.697560975609756,0.8197674418604651,0.4600326264274062,0.8579426172148356,0.5048780487804878,0.00975609756097561,0.7512254901960784,1.0,11.0,194.0,13.0,600.0,818,613,205
twitter16,casdi_v2_score,0.6208570405443044,0.5797483890100495,0.6615389288479628,0.8336948150719009,0.7992402291526026,0.8649969981089459,0.8489620615604867,0.5801622135932103,0.5801622135932103,1.1577596213476307,0.47177221164666383,False,none,0.7420537897310513,0.5178331277603151,0.7563775510204082,0.967373572593801,0.06829268292682927,0.4117647058823529,0.9317073170731708,0.03262642740619902,0.07744032992252378,0.049371564534429146,0.562363238512035,0.602307722914097,0.7853658536585366,0.8538205980066446,0.4192495921696574,0.8573426573426572,0.5024390243902439,0.004878048780487805,0.7503059975520195,1.0,14.0,191.0,20.0,593.0,818,613,205
